sample_id,vibration_rms,vibration_kurtosis,vibration_spectral_energy,dominant_frequency,current_rms,current_kurtosis,current_spectral_energy,rpm_std,temperature,fault_type
0,0.35207643518705384,-1.4588220659643567,4062.310315315535,0.1953125,5.014498575168455,-0.14628355424742612,1646574.5513989527,5.2852686653706495,60.007633484899216,normal
1,0.35687362553682944,-1.4309278289225436,4173.697716854142,0.1953125,5.021233608397534,-0.1892568091100606,1651032.8220942728,4.927726069511906,59.986997487692335,normal
2,0.3555755551211944,-1.420715562503608,4143.423534699902,0.1953125,5.000235657614611,-0.44112516495565623,1637263.646260247,4.895478201755004,59.910363985627484,normal
3,0.35886010210486435,-1.4227447656458725,4219.004426006766,0.1953125,5.012621072144971,-0.35486100034425894,1645138.7277822408,4.716446242612228,59.94646477891399,normal
4,0.36093306412755755,-1.4394741292729365,4269.021517661512,0.1953125,5.0124227909867605,-0.4185971691683048,1645410.2660695056,4.8879785893889665,59.962439682103096,normal
5,0.353016775836053,-1.4502451081916083,4083.7185063183324,0.1953125,5.000638734423965,0.013204009694795626,1637561.1757454749,5.19578738757132,60.15490105208792,normal
6,0.3609953672394265,-1.4270799428602328,4270.2195725475185,0.1953125,4.982948333696563,0.11533634905456314,1625884.5362325562,4.946832284263387,60.02851203119036,normal
7,0.35586637450613523,-1.4365413645687692,4149.979306247679,0.1953125,4.980327539538782,0.2291995016984738,1623998.5701548667,4.800261373742823,60.015880492572364,normal
8,0.35914416818782935,-1.4293482249336846,4226.824939112361,0.1953125,5.01902746481343,0.018258203152824226,1649502.5658021497,5.196628609273997,60.065569089092875,normal
9,0.35632435416501573,-1.461319805220427,4160.476757899297,0.1953125,5.0045599782934636,-0.1838141942830358,1640103.9099301912,4.756071530246438,59.92880605115273,normal
10,1.0602579405493726,-1.4818844053962124,36835.480467485395,0.1953125,5.074986994327366,-1.3171248285384336,1662402.7940639711,4.518727016349348,66.70178104759978,imbalance
11,0.7508837065706465,0.0494152358678992,18475.935587596847,0.390625,5.004104522770178,-0.7451870331041128,1636147.560392022,5.319919957530248,72.33579150767676,misalignment
12,0.35728901581949224,-1.4447332506382802,4182.603201968608,0.1953125,5.010889079818386,0.04405188795912407,1644236.0921528428,5.270318179561091,60.12265665049501,normal
13,0.36088209744656685,-1.4375333116374942,4268.2545944330295,0.1953125,5.010951214148729,0.016095611424737033,1644111.4984445232,4.922024630806855,60.141821522018176,normal
14,0.3523232880098336,-1.4088663523376113,4067.4499327025087,0.1953125,5.0079037181714074,0.18264573670365758,1642375.2899836134,4.936805267325972,59.94457297044785,normal
15,0.35851416999434393,-1.4286356437200263,4212.009203833864,0.1953125,5.017436734550963,-0.09999735637058338,1648604.9819511329,4.983474032404859,59.99924200413446,normal
16,0.3591453826062465,-1.4355857089702941,4226.902890867013,0.1953125,5.0103900820653475,-0.08900753043543341,1643995.700118626,4.831226826231565,60.034180766865134,normal
17,0.3599242629925948,-1.4644088459605105,4245.738897450238,0.1953125,5.0243544849868735,-0.09872531625497016,1653069.9295715864,4.834850627287719,60.04804269811506,normal
18,0.35523502160815623,-1.421408948983592,4135.47765497587,0.1953125,4.99804064624083,0.37947389833310075,1635886.0237357637,5.146916415362435,60.0446539610849,normal
19,0.3565220698854424,-1.4095100084195615,4164.470257706189,0.1953125,5.022733024722591,-0.12986492368083136,1652143.2069426668,5.461653162683737,59.979986396439394,normal
20,0.354168539330325,-1.4207837007643591,4109.993748517671,0.1953125,5.009193185611874,0.46530628921152717,1643145.6292760884,4.83440667402642,60.01970775538996,normal
21,0.36194609415774986,-1.4288587397629202,4292.438113717463,0.1953125,5.00000607163198,0.03185608671856954,1637149.098003108,5.0385554440339275,60.040223299679596,normal
22,0.3546851792627659,-1.450027759950808,4122.667623406876,0.1953125,4.998521180584897,0.06014457269735507,1636218.3093466752,5.415775912903162,60.1402158360072,normal
23,0.3548451759342135,-1.4516654250723515,4124.8956754850415,0.1953125,5.0134155751490495,-0.2545368385372546,1645829.232638091,5.011039928445933,59.974053036676885,normal
24,0.35829301821355947,-1.4316963560045728,4207.027807886467,0.1953125,5.0018739663905984,-0.04923332312157758,1638478.5319556189,4.760824457874632,60.28222062430592,normal
25,0.35843929450715273,-1.419484316856764,4209.232184958325,0.1953125,5.0056004731383865,-0.3319635357749964,1640626.833717439,4.754392219962213,59.97629484335481,normal
26,0.3587555799912162,-1.4403433485748276,4217.37895362704,0.1953125,4.982828607519049,0.10103462188488033,1625850.4993611516,5.2185779875208,59.943288942771,normal
27,0.3516278878683272,-1.4594709669986738,4053.2055885615305,0.1953125,5.000984266786146,-0.012484933825986921,1637732.2555813573,4.672285924983086,59.944336769936804,normal
28,0.36076353930199473,-1.4010847710218026,4265.605398011245,0.1953125,5.0027185236559495,-0.01135554921955384,1638927.7100340093,5.083158863652248,60.00019713202648,normal
29,0.3528265685135099,-1.4552901966632303,4080.2546306282334,0.1953125,5.010925806067257,0.14376088738926507,1644270.8939456036,4.798670299474799,59.97768764952775,normal
30,0.7544066725291474,0.031017572990089892,18648.99009152269,0.390625,5.020183222043232,-0.8796176387016961,1645845.8550122837,4.658185625239081,71.25609858962856,misalignment
